sentence,label,idx,processed_text
bolstered by exceptional performances ,1,43466,bolstered exceptional performances
dog-paddle in the mediocre end of the pool ,0,43467,dog paddle mediocre end pool
"if that does n't clue you in that something 's horribly wrong , nothing will . ",0,43468,n clue something horribly wrong nothing
"at least it 's a fairly impressive debut from the director , charles stone iii . ",1,43469,least fairly impressive debut director charles stone iii
"dark , intelligent warning cry ",1,43470,dark intelligent warning cry
"is far from disappointing , offering an original ",1,43471,far disappointing offering original
lies ... ,0,43472,lies
"could just rent those movies instead , let alone seek out a respectable new one ",0,43473,could rent movies instead let alone seek respectable new one
"she may not be real , but the laughs are ",1,43474,may real laughs
have thought possible ,1,43475,thought possible
fluid ,1,43476,fluid
"juliette binoche 's sand is vivacious , but it 's hard to sense that powerhouse of 19th-century prose behind her childlike smile . ",1,43477,juliette binoche sand vivacious hard sense powerhouse 19th century prose behind childlike smile
an emotionally and spiritually compelling journey ,1,43478,emotionally spiritually compelling journey
released the outtakes theatrically and used the film as a bonus feature on the dvd ,0,43479,released outtakes theatrically used film bonus feature dvd
it pretends to expose the life of male hustlers ,0,43480,pretends expose life male hustlers
the spirit ,1,43481,spirit
", irredeemably awful . ",0,43482,irredeemably awful
unfolds as one of the most politically audacious films of recent decades ,1,43483,unfolds one politically audacious films recent decades
"-- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama ",0,43484,bowel movements long shelf point shoot exercise gimmicky crime drama
nettelbeck ... has a pleasing way with a metaphor . ,1,43485,nettelbeck pleasing way metaphor
snoozer . ,0,43486,snoozer
a heavy stench ,0,43487,heavy stench
is so slight ,0,43488,slight
unnecessary films ,0,43489,unnecessary films
at its visual delights ,1,43490,visual delights
leaving you with some laughs and a smile on your face ,1,43491,leaving laughs smile face
a fascinating curiosity piece ,1,43492,fascinating curiosity piece
amiable and committed ,1,43493,amiable committed
hop beat ,1,43494,hop beat
the ensemble gives it a buoyant delivery ,1,43495,ensemble gives buoyant delivery
abandon all hope of a good movie ye who enter here ,0,43496,abandon hope good movie ye enter
detailing ,1,43497,detailing
about bad cinema ,0,43498,bad cinema
boredom to the point ,0,43499,boredom point
perfect wildean actor ,1,43500,perfect wildean actor
"with impeccable comic timing , raffish charm and piercing intellect ",1,43501,impeccable comic timing raffish charm piercing intellect
"do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold . ",1,43502,n feel least bit ashamed admitting enjoyment came expense seeing justice served even dish best served cold
that finally returns de palma to his pulpy thrillers of the early '80s ,1,43503,finally returns de palma pulpy thrillers early 80s
an emotionally satisfying exploration of the very human need ,1,43504,emotionally satisfying exploration human need
should be complaining when a film clocks in around 90 minutes these days ,0,43505,complaining film clocks around 90 minutes days
really cool ,1,43506,really cool
it was particularly funny ,1,43507,particularly funny
for conveying the way tiny acts of kindness make ordinary life survivable ,1,43508,conveying way tiny acts kindness make ordinary life survivable
superhero ,1,43509,superhero
clichés and borrowed images ,0,43510,clichés borrowed images
possibilities which imbue the theme with added depth and resonance ,1,43511,possibilities imbue theme added depth resonance
is a must ! ,1,43512,must
"accessible to a chosen few , standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill ",0,43513,accessible chosen standoffish everyone else smugly suggests superior moral tone important filmmaking skill
"assured , vital ",1,43514,assured vital
tediously exasperating ,0,43515,tediously exasperating
of life and small delights ,1,43516,life small delights
( and better ) ,1,43517,better
"has the air of a surprisingly juvenile lark , a pop-influenced prank whose charms are immediately apparent and wear thin with repetition ",0,43518,air surprisingly juvenile lark pop influenced prank whose charms immediately apparent wear thin repetition
general family chaos to which anyone can relate ,1,43519,general family chaos anyone relate
technically sumptuous but ,1,43520,technically sumptuous
an effectively chilling guilty pleasure ,1,43521,effectively chilling guilty pleasure
saved from ,1,43522,saved
"a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) ",0,43523,space station year 2455 crossed list ideas inevitable future sequels hey n shoot messenger
"as banal as the telling may be -- and at times , all my loved ones more than flirts with kitsch -- the tale commands attention . ",1,43524,banal telling may times loved ones flirts kitsch tale commands attention
only now it 's begun to split up so that it can do even more damage ,0,43525,begun split even damage
aground after being snared in its own tangled plot ,0,43526,aground snared tangled plot
", the old mib label stands for milder is n't better . ",0,43527,old mib label stands milder n better
stale and uninspired . ,0,43528,stale uninspired
"including the assumption that `` crazy '' people are innocent , childlike and inherently funny ",0,43529,including assumption crazy people innocent childlike inherently funny
"priggish , lethargically paced parable of renewal . ",0,43530,priggish lethargically paced parable renewal
makes it look like a masterpiece ,1,43531,makes look like masterpiece
content to recycle images and characters that were already tired 10 years ago ,0,43532,content recycle images characters already tired 10 years ago
of a good time ,1,43533,good time
a spiffy animated feature ,1,43534,spiffy animated feature
the best sports movie ,1,43535,best sports movie
the troubling thing about clockstoppers ,0,43536,troubling thing clockstoppers
"picture postcard perfect , too neat and new pin-like ",0,43537,picture postcard perfect neat new pin like
prove that ` zany ' does n't necessarily mean ` funny ,0,43538,prove zany n necessarily mean funny
quirky and recessive charms ,1,43539,quirky recessive charms
surprise us with plot twists ,1,43540,surprise us plot twists
makes this a high water mark for this genre ,1,43541,makes high water mark genre
badly-rendered ,0,43542,badly rendered
( hopkins ) does n't so much phone in his performance as fax it . ,0,43543,hopkins n much phone performance fax
's suspenseful enough for older kids but not too scary ,1,43544,suspenseful enough older kids scary
"gives us the perfect starting point for a national conversation about guns , violence , and fear ",1,43545,gives us perfect starting point national conversation guns violence fear
make this an eminently engrossing film ,1,43546,make eminently engrossing film
let crocodile hunter steve irwin do what he does best ,1,43547,let crocodile hunter steve irwin best
work better ,1,43548,work better
about schmidt is undoubtedly one of the finest films of the year . ,1,43549,schmidt undoubtedly one finest films year
with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought ,0,43550,emphasis self empowering schmaltz big wave surfing gives pic title afterthought
most importantly ,1,43551,importantly
should scare any sane person away ,0,43552,scare sane person away
life 's wonderment ,1,43553,life wonderment
"could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s ",0,43554,could desire cheap graceless hackneyed sci fi serials 30s 40s
"not only fails on its own , but makes you second-guess your affection for the original ",0,43555,fails makes second guess affection original
"remains brightly optimistic , ",1,43556,remains brightly optimistic
"scooby-doo does n't know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , nickelodeon-esque kiddie flick . ",0,43557,scooby doo n know wants retro refitting exercise campy recall older fans silly nickelodeon esque kiddie flick
mentally `` superior '' ,1,43558,mentally superior
its sleazy moralizing ,0,43559,sleazy moralizing
"amusedly , ",1,43560,amusedly
"engaging , ",1,43561,engaging
is so convincing that by movies ' end you 'll swear you are wet in some places and feel sand creeping in others ,1,43562,convincing movies end swear wet places feel sand creeping others
"like the imaginary sport it projects onto the screen -- loud , violent and mindless ",0,43563,like imaginary sport projects onto screen loud violent mindless
yet unforgivingly inconsistent ,0,43564,yet unforgivingly inconsistent
wo n't have any trouble getting kids to eat up these veggies . ,1,43565,wo n trouble getting kids eat veggies
in favor ,1,43566,favor
-- sadly -- ,0,43567,sadly
"'s all about anakin ... and the lustrous polished visuals rich in color and creativity and , of course , special effect . ",1,43568,anakin lustrous polished visuals rich color creativity course special effect
affectionately ,1,43569,affectionately
a great impression ,1,43570,great impression
", the movie benefits from having a real writer plot out all of the characters ' moves and overlapping story . ",1,43571,movie benefits real writer plot characters moves overlapping story
it 's hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as the grey zone ,0,43572,hard imagine anybody ever mood view movie harrowing painful grey zone
"a clumsily manufactured exploitation flick , ",0,43573,clumsily manufactured exploitation flick
"farts , boobs ",0,43574,farts boobs
joyous documentary . ,1,43575,joyous documentary
crudely ,0,43576,crudely
another wholly unnecessary addition ,0,43577,another wholly unnecessary addition
want to see over and over again ,1,43578,want see
a rather bland affair . ,0,43579,rather bland affair
of the nincompoop benigni persona ,0,43580,nincompoop benigni persona
say that this vapid vehicle is downright doltish and uneventful ,0,43581,say vapid vehicle downright doltish uneventful
might just be better suited to a night in the living room than a night at the movies ,0,43582,might better suited night living room night movies
a film about female friendship that men can embrace and women ,1,43583,film female friendship men embrace women
finally succeeds in diminishing his stature from oscar-winning master to lowly studio hack . ,0,43584,finally succeeds diminishing stature oscar winning master lowly studio hack
with pitifully few real laughs ,0,43585,pitifully real laughs
one of those movies barely registering a blip on the radar screen of 2002 ,0,43586,one movies barely registering blip radar screen 2002
as faithful portraiture ,1,43587,faithful portraiture
"according to the script , grant and bullock 's characters are made for each other . ",1,43588,according script grant bullock characters made
one of the best ensemble casts of the year ,1,43589,one best ensemble casts year
"is nicely shot , well-edited and features a standout performance by diane lane ",1,43590,nicely shot well edited features standout performance diane lane
makes less sense than the bruckheimeresque american action flicks it emulates ,0,43591,makes less sense bruckheimeresque american action flicks emulates
"is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0,43592,loose collection funny gags scattered moments lazy humor
"for those who like quirky , slightly strange french films , this is a must ! ",1,43593,like quirky slightly strange french films must
runs 163 minutes ,0,43594,runs 163 minutes
is devoid of wit and humor ,0,43595,devoid wit humor
that it 's tempting just to go with it for the ride ,1,43596,tempting go ride
it never lacks in eye-popping visuals ,1,43597,never lacks eye popping visuals
"a serious minded patience , respect and affection ",1,43598,serious minded patience respect affection
uncharismatically ,0,43599,uncharismatically
that 's suitable for all ages -- a movie that will make you laugh ,1,43600,suitable ages movie make laugh
enjoyable ease ,1,43601,enjoyable ease
"it 's got the brawn , but not the brains . ",0,43602,got brawn brains
pretty good little movie . ,1,43603,pretty good little movie
another classic ,1,43604,another classic
rehashes to feed to the younger generations ,0,43605,rehashes feed younger generations
lack their idol 's energy and passion for detail . ,0,43606,lack idol energy passion detail
one of this year 's very best pictures ,1,43607,one year best pictures
"more confused , less interesting and more sloppily ",0,43608,confused less interesting sloppily
defend himself ,1,43609,defend
"gets sillier , not scarier ",0,43610,gets sillier scarier
can make interesting a subject you thought would leave you cold ,1,43611,make interesting subject thought would leave cold
"does a good job of establishing a time and place , and of telling a fascinating character 's story ",1,43612,good job establishing time place telling fascinating character story
its delivery is a complete mess ,0,43613,delivery complete mess
snide and ,0,43614,snide
ache with sadness ( the way chekhov is funny ) ,1,43615,ache sadness way chekhov funny
"a compassionate , moving portrait of an american ( and an america ) always reaching for something just outside his grasp ",1,43616,compassionate moving portrait american america always reaching something outside grasp
long workout ,1,43617,long workout
boom mikes ,1,43618,boom mikes
so flabby ,0,43619,flabby
"half the excitement of balto , ",0,43620,half excitement balto
will assuredly ,1,43621,assuredly
are nowhere near as vivid as the 19th-century ones ,0,43622,nowhere near vivid 19th century ones
debuts by an esteemed writer-actor . ,1,43623,debuts esteemed writer actor
walked away from this new version of e.t. just as i hoped i would -- with moist eyes ,1,43624,walked away new version e hoped would moist eyes
emphasizes the computer and the cool ,1,43625,emphasizes computer cool
to big box office bucks all but guaranteed ,1,43626,big box office bucks guaranteed
telling ,1,43627,telling
tattered and ugly past ,0,43628,tattered ugly past
"a warm , fuzzy feeling prevails ",1,43629,warm fuzzy feeling prevails
the worst film of the year ,0,43630,worst film year
brightly colored dreams ,1,43631,brightly colored dreams
beautifully shaped ,1,43632,beautifully shaped
the holocaust escape story ,1,43633,holocaust escape story
humble ,1,43634,humble
something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers ,1,43635,something said studio produced film never bothers hand viewers suitcase full easy answers
"but even while his characters are acting horribly , he is always sympathetic . ",1,43636,even characters acting horribly always sympathetic
in which most of the characters forget their lines ,0,43637,characters forget lines
murphy and wilson actually make a pretty good team ... ,1,43638,murphy wilson actually make pretty good team
as original and insightful ,1,43639,original insightful
"brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images ",1,43640,brings beguiling freshness coming age story buoyant expressive flow images
one of the best of a growing strain of daring films ... that argue that any sexual relationship that does n't hurt anyone and works for its participants is a relationship that is worthy of our respect ,1,43641,one best growing strain daring films argue sexual relationship n hurt anyone works participants relationship worthy respect
involving in its bold presentation ,1,43642,involving bold presentation
look like a masterpiece ,1,43643,look like masterpiece
an enthusiastic charm ,1,43644,enthusiastic charm
"but then again , i hate myself most mornings . ",0,43645,hate mornings
"jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music ",1,43646,jaw dropping action sequences striking villains gorgeous color palette astounding technology stirring music
astonishingly condescending attitude ,0,43647,astonishingly condescending attitude
", it does n't even seem like she tried . ",0,43648,n even seem like tried
shyamalan should stop trying to please his mom . ,0,43649,shyamalan stop trying please mom
demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were . ,0,43650,demonstrate desperate makers cash sequel
it 's hard to shake the feeling that it was intended to be a different kind of film . ,0,43651,hard shake feeling intended different kind film
", do we have that same option to slap her creators because they 're clueless and inept ? ",0,43652,option slap creators clueless inept
encompasses many more paths ,1,43653,encompasses many paths
"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i ca n't remember a single name responsible for it . ",0,43654,movie concocted carried folks worthy scorn nicest thing say ca n remember single name responsible
stylized humor throughout ,1,43655,stylized humor throughout
're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over ,0,43656,rooting film hurry get subjects deaths documentary
"is the equivalent of french hip-hop , which also seems to play on a 10-year delay . ",0,43657,equivalent french hip hop also seems play 10 year delay
"to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds ",1,43658,work us second helpings love romance tragedy false dawns real dawns comic relief two separate crises marriage ceremonies lush scenery cotswolds
garcía bernal and talancón are an immensely appealing couple ,1,43659,garcía bernal talancón immensely appealing couple
traps audiences in a series of relentlessly nasty situations ,0,43660,traps audiences series relentlessly nasty situations
i know that i 'll never listen to marvin gaye or the supremes the same way again ,1,43661,know never listen marvin gaye supremes way
"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . ",0,43662,exaggerated enough parody gross flicks college flicks even flicks general
"you can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor . ",1,43663,enjoy much jonah simply gratefully laugh loud lunacy pronounced monty pythonesque flavor
inside the massive waves that lifts blue crush into one of the summer 's most pleasurable movies ,1,43664,inside massive waves lifts blue crush one summer pleasurable movies
takes a simple premise and carries it to unexpected heights ,1,43665,takes simple premise carries unexpected heights
are lacking ,0,43666,lacking
", the power of this movie is undeniable . ",1,43667,power movie undeniable
exceptional ,1,43668,exceptional
its position ,1,43669,position
"like shrek , spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world . ",1,43670,like shrek spirit visual imagination reminds animation perfect medium children way allows mind enter accept another world
"created a substantive movie out of several cliched movie structures : the road movie , the coming-of-age movie , and the teenage sex comedy . ",1,43671,created substantive movie several cliched movie structures road movie coming age movie teenage sex comedy
frothing ,0,43672,frothing
brilliant performances ,1,43673,brilliant performances
the movie 's messages are quite admirable ,1,43674,movie messages quite admirable
perfect family film ,1,43675,perfect family film
makes the formula fresh again ,1,43676,makes formula fresh
to forget that they are actually movie folk ,1,43677,forget actually movie folk
gaping enough to pilot ,1,43678,gaping enough pilot
are very expressive ,1,43679,expressive
beating the austin powers films at their own game ,1,43680,beating austin powers films game
"pokes , provokes ",1,43681,pokes provokes
the procession ,1,43682,procession
is the fact that there is nothing distinguishing in a randall wallace film . ,0,43683,fact nothing distinguishing randall wallace film
the needlessly poor quality of its archival prints and film footage ,0,43684,needlessly poor quality archival prints film footage
"this movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep ",1,43685,movie may highest production values ever seen work artist one whose view america history awkwardness human life generous deep
", they 'll probably run out screaming . ",0,43686,probably run screaming
sharply comic ,1,43687,sharply comic
( tries ) ,1,43688,tries
"jolt you out of your seat a couple of times , give you a few laughs , ",1,43689,jolt seat couple times give laughs
a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had ,0,43690,time commercialism squeezed life whatever idealism american moviemaking ever
like it ,1,43691,like
advantage ,1,43692,advantage
"could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay ",0,43693,could feel screenwriter every moment tap tap tap tap tapping away screenplay
can depress you about life itself . ,0,43694,depress life
hard-to-predict and absolutely essential chemistry ,1,43695,hard predict absolutely essential chemistry
to grow boring ... which proves that rohmer still has a sense of his audience ,1,43696,grow boring proves rohmer still sense audience
halfway mark it takes an abrupt turn into glucose sentimentality and laughable contrivance . ,0,43697,halfway mark takes abrupt turn glucose sentimentality laughable contrivance
it 's dark but has wonderfully funny moments ; ,1,43698,dark wonderfully funny moments
"guns , violence ",0,43699,guns violence
the silliness ,1,43700,silliness
a solid formula ,1,43701,solid formula
entirely wholesome ) ,1,43702,entirely wholesome
most of the movie 's success ,1,43703,movie success
is so poorly paced you could fit all of pootie tang in between its punchlines ,0,43704,poorly paced could fit pootie tang punchlines
confident filmmaking ,1,43705,confident filmmaking
respects ,1,43706,respects
trickery ,0,43707,trickery
managed to convey a tiny sense of hope ,1,43708,managed convey tiny sense hope
"is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip . ",1,43709,surprisingly brilliant deftly sewing together could confusing horrifying vision intense engrossing head trip
alexandre dumas classic ,1,43710,alexandre dumas classic
is more likely to induce sleep than fright ,0,43711,likely induce sleep fright
a tragic love story ,1,43712,tragic love story
any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice ,0,43713,gorgeous piano strings soundtrack drown tinny self righteousness voice
"focus , point and purpose ",1,43714,focus point purpose
capable ,1,43715,capable
mortal awareness ,1,43716,mortal awareness
"the new insomnia is a surprisingly faithful remake of its chilly predecessor , ",1,43717,new insomnia surprisingly faithful remake chilly predecessor
"a pathetic , endearing hero ",1,43718,pathetic endearing hero
"if allen , at 66 , has stopped challenging himself ",0,43719,allen 66 stopped challenging
it is an uneven film for the most part ,0,43720,uneven film part
contrived pastiche of caper clichés . ,0,43721,contrived pastiche caper clichés
"cold , gray , antiseptic and emotionally desiccated ",0,43722,cold gray antiseptic emotionally desiccated
"seagal ran out of movies years ago , and ",0,43723,seagal ran movies years ago
exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza . ,1,43724,exudes fizz busby berkeley musical visceral excitement sports extravaganza
"lasker 's canny , meditative script distances sex and love , as byron and luther ",1,43725,lasker canny meditative script distances sex love byron luther
the really bad blair witch project ,0,43726,really bad blair witch project
make such a worthless film ,0,43727,make worthless film
collapses ,0,43728,collapses
just another combination of bad animation and mindless violence ... lacking the slightest bit ,0,43729,another combination bad animation mindless violence lacking slightest bit
will be on video long before they grow up and you can wait till then . ,0,43730,video long grow wait till
"the movie attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific cliches is n't exactly endearing . ",0,43731,movie attempts mine laughs genre gangster crime comedy wore welcome audiences several years ago cutesy reliance movie specific cliches n exactly endearing
twinkling ,1,43732,twinkling
endorses ,1,43733,endorses
mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of ( woo 's ) best work ,0,43734,mired shabby script piles layer upon layer action man cliché atop wooden dialogue shifting tone falls far short peculiarly moral amorality woo best work
you exit the theater ,0,43735,exit theater
"self-aware , often self-mocking , intelligence ",1,43736,self aware often self mocking intelligence
creep the living hell out of you ,1,43737,creep living hell
like the guys ,1,43738,like guys
gets under our skin and draws us in long before the plot kicks into gear ,1,43739,gets skin draws us long plot kicks gear
the ridiculous dialog ,0,43740,ridiculous dialog
is definitely a cut above the rest . ,1,43741,definitely cut rest
boozy ,0,43742,boozy
there is nothing redeeming about this movie . ,0,43743,nothing redeeming movie
"be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year ",0,43744,lucratively engaged shameless self caricature analyze 1999 analyze promised threatened later year
brilliant and macabre ,1,43745,brilliant macabre
endearing and easy ,1,43746,endearing easy
a ponderous and pretentious endeavor that 's unfocused and tediously exasperating ,0,43747,ponderous pretentious endeavor unfocused tediously exasperating
slapped together ,0,43748,slapped together
"a reminder of how they used to make movies , but also how they sometimes still can be made . ",1,43749,reminder used make movies also sometimes still made
sag in certain places ,0,43750,sag certain places
a thrill ,1,43751,thrill
deeply affecting film ,1,43752,deeply affecting film
"no more racist portraits of indians , for instance ) ",0,43753,racist portraits indians instance
avary 's failure to construct a story with even a trace of dramatic interest ,0,43754,avary failure construct story even trace dramatic interest
the problem with movies about angels is they have a tendency to slip into hokum . ,0,43755,problem movies angels tendency slip hokum
has a lot of charm . ,1,43756,lot charm
two ideas ,1,43757,two ideas
absorbing documentary ,1,43758,absorbing documentary
the characters are paper thin ,0,43759,characters paper thin
"is worth your time , especially ",1,43760,worth time especially
destroy ,0,43761,destroy
queasy ,0,43762,queasy
"the emotion is impressively true for being so hot-blooded , and both leads are up to the task ",1,43763,emotion impressively true hot blooded leads task
"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project ! ",0,43764,plotline lumpy two day old porridge filmmakers paws sad say un bear able project
the action is stilted and ,0,43765,action stilted
about telling what at heart is a sweet little girl ,1,43766,telling heart sweet little girl
its strengths ,1,43767,strengths
a plodding mess ,0,43768,plodding mess
robert harmon 's less-is-more approach delivers real bump-in - the-night chills -- ,1,43769,robert harmon less approach delivers real bump night chills
"the kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ; their parents , wise folks that they are , read books ",0,43770,kids audience preview screening seemed bored cheering pratfalls little else parents wise folks read books
'll find in this dreary mess ,0,43771,find dreary mess
powerful and provocative ,1,43772,powerful provocative
is a just a waste . ,0,43773,waste
"is not really a film as much as it is a loose collection of not-so-funny gags , scattered moments of lazy humor . ",0,43774,really film much loose collection funny gags scattered moments lazy humor
that is even lazier and far less enjoyable . ,0,43775,even lazier far less enjoyable
pleasant in spite of its predictability ,1,43776,pleasant spite predictability
"she is a lioness , ",1,43777,lioness
of some children who remain curious about each other against all odds ,1,43778,children remain curious odds
"jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat ",0,43779,jostling farce thoughtful dialogue elbowed aside one liners visual style incorporates rotoscope animation apparent reason except maybe looks neat
aims to confuse ,0,43780,aims confuse
"there are n't too many films that can be as simultaneously funny , offbeat and heartwarming ( without a thick shmear of the goo , at least ) , but `` elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases ",1,43781,n many films simultaneously funny offbeat heartwarming without thick shmear goo least elling manages three quite well making one year enjoyable releases
finds no way to entertain or inspire its viewers . ,0,43782,finds way entertain inspire viewers
comes off winningly ,1,43783,comes winningly
the best film ,1,43784,best film
"takes a walking-dead , cop-flick subgenre and beats new life into it . ",1,43785,takes walking dead cop flick subgenre beats new life
` comedy ' scenes ,1,43786,comedy scenes
very pleasing at its best moments ,1,43787,pleasing best moments
awkwardly contrived exercise ,0,43788,awkwardly contrived exercise
"two fine actors , morgan freeman and ashley judd ",1,43789,two fine actors morgan freeman ashley judd
is an unsettling picture of childhood innocence combined with indoctrinated prejudice . ,1,43790,unsettling picture childhood innocence combined indoctrinated prejudice
the more serious-minded concerns ,1,43791,serious minded concerns
while the story 's undeniably hard to follow ,0,43792,story undeniably hard follow
is not quite the career peak ,0,43793,quite career peak
can comfortably hold ,1,43794,comfortably hold
it would still be beyond comprehension ,0,43795,would still beyond comprehension
"nelson 's intentions are good , but ",1,43796,nelson intentions good
"with a sour taste in one 's mouth , and little else ",0,43797,sour taste one mouth little else
"retrospectively , his most personal work yet . ",1,43798,retrospectively personal work yet
by on angelina jolie 's surprising flair for self-deprecating comedy ,1,43799,angelina jolie surprising flair self deprecating comedy
in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people ,1,43800,painting unabashedly romantic picture nation whose songs spring directly lives people
"arliss howard 's ambitious , moving , and adventurous directorial debut , ",1,43801,arliss howard ambitious moving adventurous directorial debut
talk down to them ,0,43802,talk
popular ,1,43803,popular
sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche ,0,43804,sure take longer heal welt johnny knoxville stomach riot control projectile tortured psyche
a disappointment for a movie that should have been the ultimate imax trip ,0,43805,disappointment movie ultimate imax trip
cliché-riddled ,0,43806,cliché riddled
"is a self-aware , often self-mocking , intelligence . ",1,43807,self aware often self mocking intelligence
kill the effect ,0,43808,kill effect
feel realistic . ,1,43809,feel realistic
authentically impulsive humor ,1,43810,authentically impulsive humor
's one of the worst of the entire franchise ,0,43811,one worst entire franchise
a weird little movie ,0,43812,weird little movie
"'ve marveled at disney 's rendering of water , snow , flames and shadows in a hand-drawn animated world . ",1,43813,marveled disney rendering water snow flames shadows hand drawn animated world
often hilarious romantic jealousy comedy ,1,43814,often hilarious romantic jealousy comedy
emotionally vapid ,0,43815,emotionally vapid
better ,1,43816,better
the world 's political situation ,0,43817,world political situation
"forget the misleading title , what 's with the unexplained baboon cameo ? ",0,43818,forget misleading title unexplained baboon cameo
who seem barely in the same movie ,0,43819,seem barely movie
"serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm . ",1,43820,serves paper skeleton good acting dialogue comedy direction especially charm
was only ,0,43821,
"a dull girl , that 's all ",0,43822,dull girl
it squanders chan 's uniqueness ,0,43823,squanders chan uniqueness
can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ? ,0,43824,admit xxx deep petri dish well characterized telephone book still say guilty pleasure
hates criticism so much that he refuses to evaluate his own work ,0,43825,hates criticism much refuses evaluate work
"slightly sunbaked and summery mind , sex and lucia ",1,43826,slightly sunbaked summery mind sex lucia
rising above similar fare ,1,43827,rising similar fare
detailed ,1,43828,detailed
"fat , dumb ",0,43829,fat dumb
"hashiguchi vividly captures the way young japanese live now , chafing against their culture 's manic mix of millennial brusqueness and undying , traditional politesse . ",1,43830,hashiguchi vividly captures way young japanese live chafing culture manic mix millennial brusqueness undying traditional politesse
a tasty masala . ,1,43831,tasty masala
their idol 's energy and passion ,1,43832,idol energy passion
're engulfed by it . ,1,43833,engulfed
the road warrior ,1,43834,road warrior
intellectual and emotional pedigree ,1,43835,intellectual emotional pedigree
a fast paced and suspenseful argentinian thriller ,1,43836,fast paced suspenseful argentinian thriller
less funny than it should be and less funny than it thinks it is . ,0,43837,less funny less funny thinks
into corny sentimentality ,0,43838,corny sentimentality
the cleverest ,1,43839,cleverest
is small and shriveled ,0,43840,small shriveled
by a warmth that is n't faked ,1,43841,warmth n faked
", sweet home alabama is n't as funny as you 'd hoped . ",0,43842,sweet home alabama n funny hoped
"its plot and animation offer daytime tv serviceability , but little more . ",0,43843,plot animation offer daytime tv serviceability little
"of high romance , brought off with considerable wit ",1,43844,high romance brought considerable wit
may cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists . ,0,43845,may cause bite tongue keep laughing ridiculous dialog oh convenient plot twists
"'s the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name ",0,43846,kind inspired overblown enterprise gives hollywood sequels bad name
wonderous accomplishment ,1,43847,wonderous accomplishment
emotionally strong and politically potent ,1,43848,emotionally strong politically potent
the kind of effectively creepy-scary thriller ,1,43849,kind effectively creepy scary thriller
"jagged , as if filmed directly from a television monitor ",0,43850,jagged filmed directly television monitor
"as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1,43851,sand brings role pale dark beauty characteristic warmth
rare directors ,1,43852,rare directors
it 's secondary to american psycho but still has claws enough to get inside you and stay there for a couple of hours . ,1,43853,secondary american psycho still claws enough get inside stay couple hours
